1,삼성전자,"59,700",900,+1.53%,100,"3,563,960","5,969,783",49.77,"13,471,860",9.06,13.92,
2,LG에너지솔루션,"462,500","3,000",-0.64%,500,"1,082,250","234,000",4.20,"426,116",768.27,10.68,
3,SK하이닉스,"95,200","2,000",+2.15%,"5,000","693,058","728,002",50.11,"2,314,622",6.04,16.84,
4,삼성바이오로직스,"835,000","1,000",-0.12%,"2,500","594,303","71,174",10.68,"51,809",111.05,8.21,
5,삼성전자우,"54,500",200,-0.37%,100,"448,473","822,887",71.92,"1,189,931",8.27,N/A,
6,LG화학,"632,000","21,000",+3.44%,"5,000","446,144","70,592",47.89,"217,116",22.28,18.47,
7,현대차,"196,000",500,+0.26%,"5,000","418,790","213,668",28.35,"708,582",8.70,6.84,
8,삼성SDI,"598,000","20,000",+3.46%,"5,000","411,212","68,765",43.96,"256,172",27.90,8.45,
9,NAVER,"240,000","2,000",+0.84%,100,"393,718","164,049",53.25,"400,486",39.15,106.72,
10,기아,"80,800",700,+0.87%,"5,000","327,534","405,363",36.69,"1,314,340",6.18,14.69,
11,카카오,"73,400",200,+0.27%,100,"326,740","445,150",28.73,"1,338,138",14.68,17.10,
12,셀트리온,"189,500","1,000",+0.53%,"1,000","266,801","140,792",20.83,"295,142",47.41,16.04,
13,삼성물산,"120,500","1,000",+0.84%,100,"225,199","186,887",16.37,"317,664",14.35,5.40,
14,POSCO홀딩스,"255,000","1,000",+0.39%,"5,000","222,326","87,187",52.62,"416,311",3.08,13.97,
15,현대모비스,"215,000","1,500",+0.70%,"5,000","203,332","94,573",35.16,"228,191",8.57,6.87,
16,KB금융,"49,450",150,-0.30%,"5,000","202,200","408,897",73.64,"1,262,676",4.47,9.80,
17,신한지주,"36,600",750,+2.09%,"5,000","187,734","512,934",61.70,"1,924,655",4.62,8.80,
18,SK이노베이션,"190,000","6,500",-3.31%,"5,000","175,685","92,466",25.86,"701,549",6.94,1.91,
19,SK,"233,000","5,500",+2.42%,200,"172,768","74,149",22.29,"257,275",5.23,10.19,
20,LG전자,"101,000","3,500",+3.59%,"5,000","165,284","163,648",26.15,"706,862",9.91,6.32,
21,한국전력,"20,950",200,+0.96%,"5,000","134,491","641,964",14.81,"1,531,660",-0.87,-7.99,
22,포스코케미칼,"168,000",0,0.00%,500,"130,138","77,463",7.21,"667,298",94.92,7.92,
23,카카오뱅크,"27,300",0,0.00%,"5,000","130,118","476,621",13.65,"1,585,585",55.26,4.91,
24,두산에너빌리티,"20,350","1,350",-6.22%,"5,000","129,896","638,308",10.98,"23,844,369",153.01,10.67,
25,LG,"82,000",500,+0.61%,"5,000","128,987","157,301",36.27,"222,814",5.64,12.36,
26,현대중공업,"143,500","2,500",+1.77%,"5,000","127,389","88,773",5.78,"301,790",-17.25,-14.87,
27,고려아연,"672,000","53,000",+8.56%,"5,000","126,806","18,870",19.64,"270,645",14.88,11.07,
28,삼성생명,"62,000",600,+0.98%,500,"124,000","200,000",13.18,"248,054",19.05,4.01,
29,크래프톤,"246,500","7,500",+3.14%,100,"120,963","49,072",28.93,"131,468",19.15,17.86,
30,하나금융지주,"39,250",450,+1.16%,"5,000","116,142","295,903",71.75,"1,859,269",3.28,10.86,
31,S-Oil,"101,500","3,500",-3.33%,"2,500","114,272","112,583",82.24,"735,673",4.72,21.76,
32,KT&G,"83,200",200,+0.24%,"5,000","114,227","137,292",40.09,"411,527",10.79,10.74,
33,SK텔레콤,"52,100",100,+0.19%,100,"114,012","218,833",47.04,"3,257,593",8.98,13.63,
34,LG생활건강,"712,000","2,000",+0.28%,"5,000","111,202","15,618",37.85,"29,651",21.14,16.65,
35,HMM,"22,250",450,+2.06%,"5,000","108,811","489,039",8.28,"2,981,092",0.93,88.62,
36,삼성전기,"140,000","5,000",+3.70%,"5,000","104,571","74,694",25.71,"674,197",10.53,14.29,
